drug,source,phase,cmap_score,tahoe_score
METHYLPREDNISOLONE,CMAP_ONLY,3.0,-0.297228360978847,
THALIDOMIDE,CMAP_ONLY,2.0,-0.299415540901007,
TRETINOIN,CMAP_ONLY,3.0,-0.618727050027007,
ASPIRIN,TAHOE_ONLY,2.0,,-0.697346239109141
BORTEZOMIB,TAHOE_ONLY,3.0,,-0.833166012983768
DECITABINE,TAHOE_ONLY,3.0,,-0.87838821229294
DEXAMETHASONE,TAHOE_ONLY,4.0,,-0.771618529431593
DIPHENHYDRAMINE,TAHOE_ONLY,1.0,,-0.563827871875508
IXAZOMIB,TAHOE_ONLY,2.0,,-0.687812647475224
VINCRISTINE,TAHOE_ONLY,2.0,,-0.770075765086591
